ANNO_SOLARE;CODICE_REGIONE;NOME_REGIONE;CODICE_ENTE;NOME_ENTE;CODICE_ISTITUTO;NOME_ISTITUTO;TIPO_ISTITUTO;CODICE_SPESA;DESCRIZIONE_SPESA;SPESA_LAUREA;SPESA_DOTTORATO;SPESA_SPECIALIZZAZIONE
2017;01;Piemonte;0101;EDISU del Piemonte;00101;Università degli studi di Torino;Ateneo;1;Borse di studio - Spesa per borse concesse;20171010,54;21060,515;94593,01
2017;01;Piemonte;0101;EDISU del Piemonte;00101;Università degli studi di Torino;Ateneo;2;Borse di studio - Spesa per borse concesse - di cui Fondo Sociale Europeo;0;0;0
2017;01;Piemonte;0101;EDISU del Piemonte;00101;Università degli studi di Torino;Ateneo;3;Prestiti di onore e altri prestiti agevolati - Spesa per prestiti concessi;0;0;0
2017;01;Piemonte;0101;EDISU del Piemonte;00101;Università degli studi di Torino;Ateneo;4;Mobilità internazionale - Spesa per contributi concessi;507345;0;0
2017;01;Piemonte;0101;EDISU del Piemonte;00101;Università degli studi di Torino;Ateneo;5;Interventi a favore di studenti in situazione di disabilità - Spesa per interventi concessi;51661,58;0;2698
2017;01;Piemonte;0101;EDISU del Piemonte;00101;Università degli studi di Torino;Ateneo;6;Attività di collaborazione a tempo parziale - Spesa per attività di collaborazioni a tempo parziale;84600;0;0
2017;01;Piemonte;0101;EDISU del Piemonte;00101;Università degli studi di Torino;Ateneo;7;Posti alloggio e contributi-alloggio - Spesa per contributi-alloggio assegnati;0;0;0
2017;01;Piemonte;0101;EDISU del Piemonte;00101;Università degli studi di Torino;Ateneo;8;Posti alloggio e contributi-alloggio - Spesa per contributi-alloggio assegnati - di cui spesa per contributi a borsisti (non beneficiari di alloggio);0;0;0
2017;01;Piemonte;0101;EDISU del Piemonte;00101;Università degli studi di Torino;Ateneo;9;Posti alloggio e contributi-alloggio - Spesa per contributi-alloggio assegnati - di cui spesa per contributi a idonei non borsisti (non beneficiari di alloggio);0;0;0
2017;01;Piemonte;0101;EDISU del Piemonte;00101;Università degli studi di Torino;Ateneo;10;Posti alloggio e contributi-alloggio - Spesa per contributi-alloggio assegnati - di cui spesa per contributi a studenti non idonei alla borsa;0;0;0
