ANNO_ACCADEMICO;COD_Ateneo;NOME_ATENEO;TASSA_MEDIA_PAGANTI_LAUREA;TASSA_MEDIA_TOTALE_ISCRITTI_LAUREA
2016-2017;TTTTT;Totale Italia;1583,79;1379,45
2016-2017;SSSSS;Totale Atenei Statali;1235,84;1072,51
2016-2017;LLLLL;Totale Atenei Non Statali;5034,07;4547,85
2016-2017;00101;Torino;1344,67;1223,25
2016-2017;00102;Torino Politecnico;1086,65;919,64
2016-2017;00201;Piemonte Orientale;1326,97;1211,31
2016-2017;00401;Bra - Scienze Gastronomiche;10060,42;8832,71
2016-2017;00701;Aosta;1623,70;1351,72
2016-2017;01001;Genova;1431,02;1286,28
2016-2017;01201;Castellanza LIUC;6680,57;6446,17
2016-2017;01202;Insubria;1929,67;1859,88
2016-2017;01301;Novedrate e-Campus;3806,40;3277,55
2016-2017;01501;Milano;1810,29;1663,21
2016-2017;01502;Milano Politecnico;1930,32;1688,15
2016-2017;01503;Milano Bocconi;10252,24;9261,80
2016-2017;01504;Milano Cattolica;5873,21;5400,88
2016-2017;01505;Milano IULM;5688,99;5321,82
2016-2017;01508;Milano San Raffaele;7747,95;7427,73
2016-2017;01509;Milano Bicocca;1384,18;1264,38
2016-2017;01510;Rozzano (MI) Humanitas University;8390,93;8374,04
2016-2017;01601;Bergamo;1156,14;1029,28
2016-2017;01701;Brescia;1341,57;1227,61
2016-2017;01801;Pavia;1728,75;1561,60
2016-2017;01802;Pavia IUSS;0,00;0,00
2016-2017;02101;Bolzano;1167,34;750,97
2016-2017;02201;Trento;1463,17;1187,52
2016-2017;02301;Verona;1488,88;1332,46
2016-2017;02701;Venezia Ca Foscari;1544,52;1347,72
2016-2017;02702;Venezia Iuav;1862,23;1629,33
2016-2017;02801;Padova;1548,23;1386,61
2016-2017;03001;Udine;1477,70;1244,30
2016-2017;03201;Trieste;1312,03;1100,78
2016-2017;03202;Trieste SISSA;0,00;0,00
2016-2017;03401;Parma;1180,49;1025,06
2016-2017;03601;Modena e Reggio Emilia;1521,04;1308,39
2016-2017;03701;Bologna;1558,66;1302,78
2016-2017;03801;Ferrara;1121,86;1001,08
2016-2017;04101;Urbino Carlo Bo;1360,61;1133,79
2016-2017;04201;Marche;1053,64;857,60
2016-2017;04301;Macerata;895,76;750,30
2016-2017;04302;Camerino;383,33;0,17
2016-2017;04601;Lucca - IMT;0,00;0,00
2016-2017;04801;Firenze;1001,37;910,92
2016-2017;04804;Firenze IUL;-3;-3
2016-2017;05001;Pisa;1112,58;943,57
2016-2017;05002;Pisa Normale;0,00;0,00
2016-2017;05003;Pisa S.Anna;0,00;0,00
2016-2017;05201;Siena;1637,20;1384,85
2016-2017;05202;Siena Stranieri;1740,09;1238,25
2016-2017;05401;Perugia;1154,59;974,75
2016-2017;05403;Perugia Stranieri;910,61;558,32
2016-2017;05601;Tuscia;1035,52;793,40
2016-2017;05801;Roma La Sapienza;1163,56;1035,12
2016-2017;05802;Roma Tor Vergata;1328,81;1211,18
2016-2017;05803;Roma LUMSA;4105,36;4030,94
2016-2017;05805;Roma LUISS;9131,81;8723,60
2016-2017;05806;Roma Foro Italico;1033,47;939,65
2016-2017;05807;Roma Tre;979,50;905,78
2016-2017;05808;Roma Biomedico;7395,11;7184,19
2016-2017;05809;Roma UNINT;5051,74;4399,12
2016-2017;05810;Roma Marconi;1449,38;1404,51
2016-2017;05811;Roma UNITELMA;1316,48;1179,71
2016-2017;05812;Roma Europea;5177,29;5025,94
2016-2017;05813;Roma UNINETTUNO;1621,38;765,35
2016-2017;05814;Roma  Mercatorum;1781,23;1345,22
2016-2017;05815;Roma UNICUSANO;2193,34;2064,94
2016-2017;05816;Roma San Raffaele;2144,99;2084,95
2016-2017;05817;Roma - Link Campus;3752,69;2860,09
2016-2017;06001;Cassino;902,17;740,67
2016-2017;06201;Sannio;1073,83;981,29
2016-2017;06202;Benevento - Giustino Fortunato;2167,38;2154,63
2016-2017;06301;Napoli Federico II;945,63;880,66
2016-2017;06302;Napoli Parthenope;921,88;857,74
2016-2017;06303;Napoli L'Orientale;937,80;814,99
2016-2017;06304;Napoli Benincasa;2526,14;2468,44
2016-2017;06306;Napoli II;1377,62;1258,14
2016-2017;06307;Napoli Pegaso;-3;-3
2016-2017;06501;Salerno;881,44;774,50
2016-2017;06601;L'Aquila;716,48;629,02
2016-2017;06603;L'Aquila - GSSI;0,00;0,00
2016-2017;06701;Teramo;1105,96;935,94
2016-2017;06901;Chieti e Pescara;965,79;819,74
2016-2017;06902;Torrevecchia Teatina - Leonardo da Vinci;1009,52;815,38
2016-2017;07001;Molise;1137,44;1009,57
2016-2017;07101;Foggia;1007,91;793,77
2016-2017;07201;Bari;1034,37;849,32
2016-2017;07202;Bari Politecnico;828,40;708,61
2016-2017;07203;Casamassima - J.Monnet;3702,88;3524,46
2016-2017;07501;Salento;968,87;735,46
2016-2017;07601;Basilicata;775,23;679,74
2016-2017;07801;Calabria;846,53;666,32
2016-2017;07901;Catanzaro;687,26;565,17
2016-2017;08001;Reggio Calabria;998,60;891,62
2016-2017;08003;Reggio Calabria - Dante Alighieri;607,52;553,42
2016-2017;08201;Palermo;971,79;821,08
2016-2017;08301;Messina;1107,77;924,26
2016-2017;08601;Enna - KORE;2893,28;2893,28
2016-2017;08701;Catania;896,43;769,59
2016-2017;09001;Sassari;890,09;685,29
2016-2017;09201;Cagliari;801,50;594,10
