uni_id,uni,scholarship,paidfee,totalfee,total_students,int_students,perc_intern,relative_scholarship
1010,Torino,20972522,1502.08,1224.67,71597,4366,6.0980208667960945,292.9245918125061
1020,Torino Politecnico,15307754,1147.08,884.24,31902,4164,13.052473199172466,479.8368127390132
2010,Piemonte Orientale,3076591,1401.6,1147.79,12132,809,6.668315199472469,253.59305967688758
4010,Bra Scienze Gastronomiche,0,10311.24,9283.23,340,96,28.235294117647058,0.0
7010,Aosta,692508,1667.51,1387.92,1050,60,5.714285714285714,659.5314285714286
1001,Genova,8097000,1580.28,1285.73,31965,2970,9.291412482402627,253.30830595964335
1201,Castellanza LIUC,224836,6731.06,6481.28,2109,34,1.6121384542437174,106.60787102892365
1202,Insubria,850841,2104.0,1758.36,10045,586,5.833748133399701,84.70293678446988
1501,Milano,11743775,1752.23,1426.12,60619,3912,6.4534221943615035,193.73092594731025
1502,Milano Politecnico,16990611,2241.13,1835.9,43689,6676,15.280734280940283,388.8990592597679
1503,Milano Bocconi,3219345,10253.15,9248.11,13429,1992,14.833569141410381,239.7308064636235
1504,Milano Cattolica,9165850,5773.75,5268.29,38495,2036,5.2889985712430185,238.10494869463568
1505,Milano IULM,1182109,5901.41,5466.81,5732,211,3.6810886252616886,206.2297627355199
1508,Milano San Raffaele,306199,8329.78,7934.64,2601,136,5.228758169934641,117.72356785851595
1509,Milano Bicocca,5672018,1470.19,1191.94,33178,1923,5.7960094038218095,170.95720055458438
1510,Rozzano (MI) Humanitas University,5139,8288.87,8265.71,727,194,26.68500687757909,7.068775790921595
1601,Bergamo,2379693,1291.14,1014.7,18096,1168,6.45446507515473,131.50381299734747
1701,Brescia,4931508,1464.06,1182.15,13970,1003,7.17967072297781,353.0070150322119
1801,Pavia,7914057,2085.05,1303.4,22011,1703,7.737040570623779,359.5500885920676
2101,Bolzano,2310368,1170.22,766.16,3681,543,14.751426242868785,627.6468350991578
2201,Trento,6771389,1395.24,1158.2,16257,717,4.4104078243218305,416.52143691948083
2301,Verona,6875553,1426.32,1195.19,23466,1213,5.169180942640416,293.0006392227052
2701,Venezia C Foscari,6553195,1553.9,1293.19,20328,1202,5.913026367571822,322.3728354978355
2702,Venezia Iuav,1683123,2226.17,1788.38,4000,253,6.325,420.78075
2801,Padova,23346581,1574.08,1318.43,58060,2629,4.528074405787117,402.11128143300033
3001,Udine,8446564,1521.16,1234.07,14903,873,5.857880963564383,566.7693752935651
3201,Trieste,8734290,1420.45,1118.52,15143,1222,8.069735191177442,576.7872944594862
3401,Parma,10956358,1269.64,1017.04,24796,1682,6.783352153573157,441.85989675754155
3601,Modena e Reggio Emilia,9367818,1551.61,1182.36,23761,1370,5.765750599722234,394.25184125247256
3701,Bologna,35598825,1512.56,1128.61,79522,6221,7.822992379467317,447.6600814868841
3801,Ferrara,5448208,1569.72,1141.96,18402,1026,5.575480925986306,296.0660797739376
4101,Urbino,7678574,1384.93,1063.0,14145,901,6.369741958289148,542.8472251679038
4201,Marche,4890452,1072.31,878.82,15201,692,4.552332083415565,321.7190974278008
4301,Macerata,3529856,929.83,683.13,10051,435,4.32792756939608,351.1945080091533
4302,Camerino,2646150,0.0,0.0,6784,667,9.83195754716981,390.0574882075472
4801,Firenze,15379384,1070.25,868.99,51757,3816,7.37291574086597,297.1459705933497
5001,Pisa,19269507,1184.6,926.77,44308,1745,3.93834070596732,434.8990475760585
5201,Siena,10566521,1563.98,1183.34,15738,1410,8.959207014868472,671.4017664252128
5202,Siena Stranieri,2419447,1674.93,1221.83,2071,244,11.78174794785128,1168.250603573153
5401,Perugia,13825594,1235.76,904.92,22979,1327,5.774837895469776,601.6621262892206
5403,Perugia Stranieri,1422219,1119.52,704.44,935,343,36.68449197860963,1521.0898395721924
5601,Tuscia,2242448,1030.17,732.95,8107,218,2.6890341680029604,276.6063895399038
5801,Roma La Sapienza,40306312,1245.44,946.29,100271,6808,6.789600183502707,401.9737710803722
5802,Roma Tor Vergata,9446503,1439.5,1051.01,28618,1958,6.8418477881053885,330.0895590187994
5803,Roma LUMSA,1147558,4408.13,4105.29,5641,236,4.183655380251729,203.43166105300477
5805,Roma LUISS,1583238,9612.33,9090.76,9045,159,1.75787728026534,175.04013266998342
5806,Roma Foro Italico,640584,1107.52,914.53,2174,53,2.437902483900644,294.65685372585097
5807,Roma Tre,8020744,1053.6,827.39,31957,1498,4.6875488938260785,250.98551178145632
5808,Roma Biomedico,221258,7395.63,7141.61,1781,12,0.673778775968557,124.23245367770915
5809,Roma UNINT,602666,5388.22,4547.53,1302,63,4.838709677419355,462.8771121351767
5812,Roma Europea,74918,4964.65,4771.99,1004,17,1.6932270916334662,74.61952191235059
5817,Roma Link Campus,2539,3615.1,2916.35,1876,37,1.9722814498933903,1.353411513859275
6001,Cassino,4645322,1206.83,753.97,7237,375,5.181705126433605,641.8850352355948
6201,Sannio,1072890,1005.84,765.31,4839,36,0.7439553626782393,221.71729696218227
6301,Napoli Federico II,14210805,1354.56,879.16,75257,487,0.6471158829079022,188.83034136359407
6302,Napoli Parthenope,2121106,989.98,707.16,12098,85,0.7025954703256737,175.32699619771864
6303,Napoli L'Orientale,2036318,724.45,488.74,11222,433,3.858492247371235,181.45767242915701
6304,Napoli Benincasa,1686151,2745.22,2439.44,8217,50,0.6084945843981988,205.2027503955215
6306,Napoli Vanvitelli,5774828,1600.66,1170.95,24751,264,1.0666235707648175,233.31695689063068
6501,Salerno,19434304,986.75,707.21,35576,324,0.9107263323588937,546.2756914774005
6601,L'Aquila,5130599,875.34,606.18,16222,565,3.4829244236222414,316.2741338922451
6701,Teramo,2535165,1334.72,1014.68,5856,103,1.758879781420765,432.91752049180326
6901,Chieti e Pescara,9305751,802.27,535.13,24201,545,2.2519730589645057,384.5192760629726
7001,Molise,1931395,1159.93,856.51,6893,76,1.1025678224285507,280.1965762367619
7101,Foggia,7515341,1060.66,693.68,10192,101,0.9909733124018838,737.3764717425431
7201,Bari,29526237,1039.23,742.82,43298,669,1.545106009515451,681.9307358307543
7202,Bari Politecnico,5046739,1243.68,944.89,9757,104,1.065901404120119,517.2429025315158
7203,Casamassima - G.Degennaro,114649,3694.65,3464.34,1553,7,0.4507405022537025,73.82421120412106
7501,Salento,13994212,816.14,475.22,16619,170,1.0229255671219688,842.0610145014742
7601,Basilicata,3185150,1155.55,807.06,6583,50,0.7595321282090233,483.8447516329941
7801,Calabria,25301053,976.04,596.05,26070,760,2.915228231683928,970.5045262754123
7901,Catanzaro,3481005,1008.35,628.98,10597,112,1.056902897046334,328.48966688685476
8001,Reggio Calabria,1798342,1039.26,746.05,5270,53,1.0056925996204933,341.2413662239089
8003,Reggio Calabria - Dante Alighieri,263741,629.24,530.4,861,156,18.118466898954704,306.31939605110335
8201,Palermo,7828114,1155.97,787.8,39313,320,0.8139801083611019,199.1227838119706
8301,Messina,12181696,1262.84,844.93,22919,334,1.4573061651904533,531.5107989004756
8601,Enna KORE,1594466,3034.75,3034.15,5183,22,0.42446459579394175,307.63380281690144
8701,Catania,8365996,770.19,559.05,41890,279,0.6660300787777512,199.71343996180474
9001,Sassari,9121637,863.49,581.44,13121,232,1.7681579147930797,695.193735233595
9201,Cagliari,13585559,900.99,592.36,25162,261,1.037278435736428,539.9236547174311
