uni_id,uni,scholarship,paidfee,totalfee,total_students,int_students,perc_intern
1001,Genova,8812053,"1584,24","1269,08",30287,2824,9.324132466074554
1201,Castellanza LIUC,212936,"6727,35","6508,40",2285,33,1.4442013129102844
1202,Insubria,1123559,"2065,27","1707,04",10702,647,6.045598953466642
1501,Milano,13014187,"1712,54","1388,90",59442,4121,6.932808451936341
1502,Milano Politecnico,19352778,"2263,20","1822,83",44660,6863,15.367218987908643
1503,Milano Bocconi,2271082,"10256,72","9270,06",13541,2267,16.741747286020235
1505,Milano IULM,1313815,"6695,26","6109,72",6250,254,4.064
1508,Milano San Raffaele,229819,"8083,50","7766,28",2803,157,5.601141633963611
1509,Milano Bicocca,6286054,"1512,18","1105,76",33146,1880,5.671875942798528
1510,Rozzano (MI) Humanitas University,5195,"8111,93","8094,61",950,238,25.05263157894737
1601,Bergamo,2624105,"1254,57","908,68",19451,1300,6.683461004575601
1701,Brescia,3741531,"1434,13","1177,95",13966,999,7.153086066160676
1801,Pavia,8809686,"2019,42","1216,13",23120,1968,8.512110726643598
2101,Bolzano,2329546,"1172,30","753,32",3757,536,14.266702155975512
2201,Trento,7252143,"1342,64","1139,57",16522,727,4.400193681152403
2301,Verona,47064,"1399,43","1167,41",22741,1103,4.85027043665626
2701,Venezia C Foscari,618,"1537,72","1274,74",20791,1390,6.6855851089413685
2702,Venezia Iuav,0,"2156,70","1687,68",3967,282,7.108646332240988
2801,Padova,298495,"1583,31","1282,00",58777,2870,4.882862344114194
3001,Udine,9892230,"1614,71","1218,31",14854,811,5.4598088057089
3201,Trieste,9644089,"1418,00","1104,78",15331,1156,7.540277868371274
3401,Parma,12936326,"1466,20","1035,10",25763,1694,6.575321197065559
3601,Modena e Reggio Emilia,11361997,"1606,30","1209,66",24948,1392,5.5796055796055795
3701,Bologna,42740371,"1732,90","1257,33",80140,6869,8.57125031195408
3801,Ferrara,7990798,"1501,85","1038,35",20316,1052,5.17818468202402
4101,Urbino,7687457,"1356,78","1047,07",14247,872,6.120586790201446
4201,Marche,4390300,"1056,09","872,55",15006,695,4.631480741036919
4301,Macerata,4650529,"967,24","699,38",10207,450,4.408739100617224
4302,Camerino,3077801,"0,00","0,00",6832,655,9.587236533957846
4801,Firenze,15184107,"1077,89","842,62",51726,3984,7.702122723581951
5001,Pisa,17613018,"1248,64","882,69",44363,1798,4.052926988706806
5201,Siena,10232364,"1566,47","1153,26",15679,1403,8.948274762421073
5202,Siena Stranieri,2492084,"1483,24","995,00",2155,245,11.368909512761022
5401,Perugia,15332908,"1201,37","876,99",23490,1394,5.934440187313751
5403,Perugia Stranieri,1401528,"1174,92","737,25",1051,385,36.631779257849665
5601,Tuscia,2367025,"1079,60","852,73",7782,251,3.2253919300950913
5801,Roma La Sapienza,44322730,"1239,39","928,66",101842,7630,7.491997407749259
5802,Roma Tor Vergata,10322633,"1437,70","1041,62",27820,2204,7.92235801581596
5806,Roma Foro Italico,672246,"1122,66","915,25",2131,54,2.5340215861098074
5807,Roma Tre,7447390,"1069,41","832,48",31214,1518,4.86320240917537
5812,Roma Europea,100836,"4697,26","4479,05",1240,24,1.935483870967742
5814,Roma  Mercatorum - telematica,1950,-3,-3,2905,60,2.0654044750430294
5817,Roma Link Campus,5705,"3832,63","2661,95",1849,42,2.271498107084911
5818,Roma Saint Camillus,183594,"8040,76","6978,77",200,55,27.5
6001,Cassino,5350101,"1243,45","739,43",7352,492,6.692056583242655
6201,Sannio,1585877,"979,95","736,60",4635,41,0.8845738942826321
6301,Napoli Federico II,28982133,"1223,21","892,20",74763,576,0.7704345732514747
6302,Napoli Parthenope,4726889,"975,82","680,44",11359,77,0.677876573642046
6303,Napoli L'Orientale,7812215,"890,33","575,09",11590,451,3.891285591026747
6304,Napoli Benincasa,4116865,"2828,88","2377,34",8267,37,0.4475625982823273
6306,Napoli Vanvitelli,10411421,"1723,24","1046,54",23906,309,1.29256253660169
6501,Salerno,21650481,"1027,14","700,88",35352,407,1.1512785698121748
6601,L'Aquila,5385118,"789,92","606,73",15912,552,3.469079939668175
6701,Teramo,2585448,"1266,34","981,43",5525,122,2.2081447963800906
6901,Chieti e Pescara,10524010,"678,51","439,87",23666,552,2.332460069297727
7001,Molise,2920703,"1110,00","827,63",6807,95,1.3956221536653446
7101,Foggia,7277383,"1048,29","674,82",10356,118,1.1394360757049053
7203,Casamassima - G.Degennaro,167426,"4182,97","3876,27",1502,6,0.3994673768308921
7501,Salento,12526297,"760,60","428,31",17012,164,0.9640253938396426
7601,Basilicata,3497535,"1061,19","780,37",6418,32,0.49859769398566534
7801,Calabria,22404252,"939,98","559,65",25310,786,3.1054919004346107
7901,Catanzaro,8118983,"1036,77","541,43",10779,128,1.1874942016884684
8001,Reggio Calabria,2785844,"1162,78","790,17",4936,66,1.3371150729335495
8003,Reggio Calabria - Dante Alighieri,451675,"603,73","539,77",781,146,18.693982074263765
8201,Palermo,15881286,"1189,41","775,65",39462,403,1.02123561907658
8301,Messina,7040031,"1246,60","820,13",22444,421,1.8757797184102656
8601,Enna KORE,1516254,"3089,71","3088,41",4822,18,0.3732890916632103
8701,Catania,9135199,"791,20","549,74",39352,303,0.7699735718642
9001,Sassari,13083381,"906,92","543,68",13241,276,2.0844347103693073
9201,Cagliari,26527950,"1013,66","526,92",24857,320,1.287363720481152
