uni,relative_scholarship,perc_intern,paidfee
Torino,219.6508063300678,5.588545591559909,1374.95
Torino Politecnico,461.31805465191934,14.121665582303187,1093.96
Piemonte Orientale,189.9809638777974,6.286563283498932,1314.37
Bra Scienze Gastronomiche,0.0,23.91304347826087,10307.32
Aosta,799.9078711985688,4.919499105545617,1356.28
Genova,286.10843027888444,8.341035856573706,1445.01
Castellanza LIUC,120.72783188108662,2.1014864172219374,6716.98
Insubria,76.53413699864804,5.903560162235241,1871.42
Milano,167.60953499528543,5.7401862665630015,1745.93
Milano Politecnico,292.6057626287396,12.005885237861698,2102.38
Milano Bocconi,334.6449226123065,11.189127972819932,10166.2
Milano Cattolica,284.38970608376474,4.804558029966856,5207.5
Milano IULM,186.4433962264151,4.309605488850772,5588.0
Milano San Raffaele,100.52475247524752,4.69220835126991,7934.58
Milano Bicocca,192.52841652645355,5.764317317878732,1345.25
Rozzano (MI) Humanitas University,14.66184971098266,25.43352601156069,7860.27
Bergamo,199.61535017588744,5.743524144547489,1188.95
Brescia,324.0959708008302,6.863236241322551,1281.26
Pavia,300.596621910139,6.979171608862742,1651.64
Bolzano,694.06142668428,15.686922060766182,1176.23
Trento,401.1208595000616,5.239502524319665,1408.93
Verona,220.9781324398201,5.211180671898422,1473.38
Venezia C Foscari,294.16278834479965,4.967624443545123,1505.74
Venezia Iuav,401.46741678387247,5.274261603375527,1930.97
Padova,281.4732269352223,4.163181701800802,1568.98
Udine,608.9560306575232,5.929810407422348,1467.27
Trieste,483.9478855473677,8.11259377282082,1280.77
Parma,318.2682884523655,6.1185551363774335,1106.84
Modena e Reggio Emilia,320.86384367948534,6.092467233184502,1534.08
Bologna,431.5559438762399,6.541347586986689,1512.33
Ferrara,265.207476635514,5.272317112471802,1146.17
Urbino,403.48695401470377,6.703185815193888,1339.94
Marche,195.70584469624225,4.28269637027079,1076.14
Macerata,352.769030448718,4.236778846153846,883.83
Camerino,536.6864564007421,8.611626468769327,1073.64
Firenze,315.576761919892,7.075481065194511,976.19
Pisa,433.4594786624628,3.5192504107642435,1161.2
Siena,695.0580628475366,6.375274796327428,1613.86
Siena Stranieri,1142.541615667075,13.157894736842104,1760.5
Perugia,474.70190923026894,5.4303897431133,1155.75
Perugia Stranieri,1329.9047085201794,39.573991031390136,828.87
Tuscia,194.01339627455985,2.653738198520031,1009.62
Roma La Sapienza,257.4680401002506,5.324310776942356,1171.23
Roma Tor Vergata,251.5280342341128,5.256418896152032,1335.72
Roma LUMSA,171.5734444066644,4.896293777626657,4032.82
Roma LUISS,136.37999014292754,1.6510596352883191,8793.34
Roma Foro Italico,212.67294751009425,2.1982951996410947,1003.78
Roma Tre,178.2862656139524,4.251119490926231,1023.31
Roma Biomedico,155.11190476190475,0.5952380952380952,7319.6
Roma UNINT,284.0868945868946,3.8461538461538463,4442.31
Cassino,534.5102171136654,3.0395913154533845,805.08
Sannio,205.27699872518667,0.5281369513749772,1059.19
Napoli Federico II,147.35800505406826,0.4964275177341354,941.01
Napoli Parthenope,144.8534414127524,0.5428095823984946,728.88
Napoli L'Orientale,141.77734082397004,3.4363295880149813,947.51
Napoli Benincasa,160.4255319148936,0.4824344383968332,2393.99
Napoli Vanvitelli,137.9707254985151,0.7019709183476684,1391.51
Salerno,261.8712905254732,0.7833495339927955,923.18
L'Aquila,258.17974306665934,2.988366322986161,675.78
Teramo,310.34048733258027,1.8880103275778604,1158.3
Chieti e Pescara,417.4582233266035,1.980121136822488,929.09
Molise,238.3581187976413,0.9204659859053644,1223.07
Foggia,383.4380192037976,0.9817671809256662,977.39
Bari,372.1140315058778,1.4699877501020824,1018.62
Bari Politecnico,287.4672725416113,0.8679669151434698,688.22
Casamassima - G.Degennaro,24.940986257073565,0.4042037186742118,3704.44
Salento,501.18351001177854,0.7538280329799765,932.51
Basilicata,354.0819033886085,0.6344628695025234,612.15
Calabria,266.1957252466204,2.137376689806357,782.8
Catanzaro,63.10404846619867,0.8270025964035004,687.07
Reggio Calabria,216.4482373584304,0.6540118041154889,973.68
Reggio Calabria - Dante Alighieri,287.01763485477176,7.883817427385892,631.95
Palermo,354.5330347144457,0.6843349508523081,919.99
Messina,183.10637938318547,1.0604140261934938,1022.82
Enna KORE,267.6002763862498,0.3973052340646053,2760.04
Catania,201.50821325325504,0.5736951796158931,741.29
Sassari,454.255196212182,1.5729074713104887,879.94
Cagliari,692.8505755889304,0.8995959441945567,795.16
