uni,relative_scholarship,perc_intern,paidfee,lat,lon
Torino,262.4862613330186,5.750410139332505,1391.5925,45.0677551,7.6824892
Torino Politecnico,482.7522025108156,13.358754869460055,1103.585,45.0627483,7.6630648
Piemonte Orientale,220.32866978820297,6.38048207285013,1342.4775,45.3274674,8.424624497433843
Bra Scienze Gastronomiche,0.0,26.359968411516164,10184.85,44.6822372,7.893787911680173
Aosta,760.2162933088828,5.585736101086256,1567.7975,45.7370885,7.3196649
Genova,253.8215836529212,8.770720117280941,1471.8325,44.40726,8.9338624
Castellanza LIUC,105.74005317848297,2.0558571982585705,6702.295,45.61258185,8.901595642530218
Insubria,75.50558220488793,5.886534532117051,1958.69,45.4522853,9.2213678
Milano,160.4170355248975,6.1015816736583375,1779.685,45.4641943,9.1896346
Milano Politecnico,313.6933708821175,13.74201303238664,2051.0375,45.4786583,9.2261817
Milano Bocconi,277.72872012036544,13.239414575490278,10230.9575,45.449719400000006,9.188708672031792
Milano Cattolica,248.3623804908969,5.085490504017784,5681.9175,45.4618543,9.177056282599018
Milano IULM,184.99229280796845,3.953195000920753,5716.8475,45.44204,9.162599554489331
Milano San Raffaele,91.40666918026756,4.839883615655084,7940.065,45.4654227,9.1913654
Milano Bicocca,192.01723378446664,5.786506978316978,1395.95,45.5149166,9.2111381
Rozzano (MI) Humanitas University,10.31763736406922,26.622789115821064,8232.75,45.3832366,9.1541309
Bergamo,168.295505079023,6.091163971592222,1198.0925000000002,45.756655699999996,9.754219200862249
Brescia,323.1964127891233,7.022275996310033,1357.115,45.77958045,10.4258729694612
Pavia,334.6756211029988,7.3263485717292,1798.5475,45.036854649999995,9.137825082826026
Bolzano,651.9864338029806,14.928141585474489,1170.2825,46.655945450000004,11.23021287087526
Trento,402.8626810289621,4.834976194919795,1432.6275,46.1030443,11.129840331695068
Verona,260.2135307990735,5.227807921914465,1469.365,45.4384958,10.9924122
Venezia C Foscari,294.75532984682866,5.366613078681149,1537.17,45.4344957,12.3264484
Venezia Iuav,348.1408303060067,5.686977563006044,1970.4,45.4319507,12.3148641
Padova,300.49874002919694,4.327280667135522,1559.88,45.4077172,11.8734455
Udine,490.70220007346256,6.078370430101092,1485.9575,46.0634632,13.2358377
Trieste,494.76533138985366,8.108924559058865,1331.32,45.6496485,13.7772781
Parma,420.66395905836913,6.340141702966569,1184.365,44.8013678,10.3280833
Modena e Reggio Emilia,401.20143928353104,5.809771064724879,1531.9425,44.6432168,10.9252076
Bologna,493.5029735223711,7.087512789838225,1535.5525,44.4938203,11.3426327
Ferrara,319.0623957865971,5.462768971019502,1239.9025,44.766764249999994,11.827938995640167
Urbino,406.6555316028506,6.494732266020791,1361.5225,43.7262608,12.6363135
Marche,249.90573272312255,4.389767953176062,1063.9325,43.3458388,13.1415872
Macerata,301.9061197180312,4.374415045037967,901.295,43.15297805,13.150882217502017
Camerino,429.4558708782971,9.048936349806109,460.0750000000001,43.1357641,13.0683092
Firenze,283.94048848968424,7.227795612253534,1012.295,43.7698712,11.2555757
Pisa,391.0904387781544,3.769654651598133,1142.74,43.7159395,10.4018624
Siena,623.1507801439229,7.778011012126489,1613.06,43.1672254,11.467181161339118
Siena Stranieri,1047.7336363289098,12.262526178342757,1728.9025,43.3314122,11.3215102
Perugia,551.2225947080852,5.533690227726564,1175.1725,43.1070321,12.402996209906487
Perugia Stranieri,1525.21004451458,38.4176286980164,942.4025,43.1148526,12.3895193
Tuscia,251.11602429792728,2.570723031750508,1027.7075,43.4586541,11.1389204
Roma La Sapienza,327.49949773897595,5.959986226843276,1185.9475,41.9066442,12.5168288
Roma Tor Vergata,287.3053627802331,5.902739259896842,1358.21,41.8605744,12.6204579
Roma LUMSA,187.5237122623532,4.700542845025152,4162.9175,41.903710000000004,12.463439577801541
Roma LUISS,157.51241247946763,1.7115191193151738,9167.3225,41.921505249999996,12.513290697916666
Roma Foro Italico,286.3552397346928,2.1845735776766837,1044.56,41.92917785,12.4560047929854
Roma Tre,215.70866332729207,4.463160973613204,1008.9775,39.0796457,17.1247999
Roma Biomedico,123.34946654212702,0.6442458943771684,7376.3625,41.7714412,12.4674612
Roma UNINT,386.9137087811095,4.6490265317808745,4983.5025000000005,41.86025825,12.49684247945029
Cassino,622.460900204041,3.864772722131176,954.0625,41.4925576,13.8305297
Sannio,214.71654373024168,0.5599429546503275,1053.1725,14.3788321,121.003335
Napoli Federico II,175.35537979540635,0.5788164581542602,1046.7075,40.84804835,14.24790527733246
Napoli Parthenope,159.775464209052,0.6076646627038621,890.655,40.8305276,14.2448043
Napoli L'Orientale,146.16151993125106,3.522025400409739,886.89,40.8455307,14.2551106
Napoli Benincasa,174.42091162091086,0.5926141454625375,2547.8725,40.6807798,14.7245238
Napoli Vanvitelli,146.19145928893408,0.8731491733290543,1436.8525,40.8439246,14.2317581
Salerno,345.85370347345446,0.8590639634768866,918.2025,40.419441649999996,15.310756230322482
L'Aquila,322.195678692054,3.233279470984222,746.02,42.1368853,13.610341022538911
Teramo,369.9068335962728,1.788340583943086,1176.235,42.65811795,13.69787458752063
Chieti e Pescara,427.0842762264832,2.0983538889082625,915.735,42.3372711,14.1283165
Molise,276.5210266997773,0.9382844036405724,1164.47,41.684672,14.595614
Foggia,546.8303746547438,0.953543179597872,1013.4675,41.50281055,15.452899609627728
Bari,519.4542470765481,1.4910902381005502,1031.6475,41.1257843,16.8620293
Bari Politecnico,406.9914104902219,0.9498366517922676,897.175,41.1092176,16.8851188
Casamassima - G.Degennaro,45.5943717866593,0.4331947238493889,3701.2125,40.957131,16.920388
Salento,682.1000682739278,0.902627294946466,921.5975,4.6373012,-75.569799
Basilicata,528.4675802978746,0.7583348150016571,829.54,40.500571,16.081953
Calabria,578.4130742696884,2.4638855327852798,862.9749999999999,39.0565974,16.5249864
