Tavola 6 - Popolazione residente, popolazione universitaria (valori assoluti) e quartili delle distanze tra luogo di residenza e comune sede di Ateneo  - Città universitarie. Dicembre 2016;;;;;;;;;;;
;;;;;;;;;;;
Dati di base ;;;;;Popolazione universitaria;;;;;;
Codice Istat comune sede di Ateneo;Denominazione ;Denominazione comune sede di Ateneo;Popolazione residente anagrafica 01/01/2017;;Studenti universitari iscritti nel comune sede di Ateneo (*);Studenti universitari con mobilità all'interno del proprio comune ;Mobilità in entrata da altro comune;;;;Studenti universitari con mobilità in uscita dal proprio comune
;;;;;;;Studenti universitari;Quartili delle distanze tra origine e destinazione (in km);;;
;;;;;;;;;;;
;;;;;;;;Q1 ;Q2;Q3;
001272;"UNIVERSITÀ DEGLI STUDI DI TORINO;                                                       
POLITECNICO DI TORINO";Torino;886.837;;75.699;18.545;56.646;21,22;62,13;558,03;2.596
002158;"UNIVERSITÀ DEGLI STUDI DEL PIEMONTE ORIENTALE ""AMEDEO AVOGADRO""";Vercelli;46.552;;958;94;863;21,12;33,28;44,54;861
004029;UNIVERSITÀ NON STATALE DI SCIENZE GASTRONOMICHE;Bra;29.604;;268;55;201;46,99;130,14;300,01;488
007003;UNIVERSITÀ DELLA VALLE D'AOSTA;Aosta;34.361;;497;75;419;13,55;58,45;116,09;551
010025;UNIVERSITÀ DEGLI STUDI DI GENOVA;Genova;583.601;;22.763;10.960;11.702;32,91;44,21;92,99;2.254
012042;"UNIVERSITÀ ""CARLO CATTANEO"" - LIUC";Castellanza;14.397;;1.820;43;1.773;11,47;27,94;280,03;241
012133;UNIVERSITÀ DEGLI STUDI INSUBRIA VARESE-COMO;Varese;80.694;;5.413;508;4.854;12,64;19,30;27,69;1.251
015146;"LIBERA UNIVERSITÀ ""VITA SALUTE S.RAFFAELE""  MILANO; 
UNIVERSITÀ DEGLI STUDI DI MILANO - BICOCCA;
UNIVERSITÀ DEGLI STUDI DI MILANO;
POLITECNICO DI MILANO;
UNIVERSITA' COMMERCIALE ""LUIGI BOCCONI"" MILANO;
UNIVERSITÀ CATTOLICA DEL SACRO CUORE;
LIBERA UNIVERSITÀ DI LINGUE E COMUNICAZIONE IULM-MI";Milano;1.351.562;;146.080;27.081;116.625;20,99;41,19;149,10;3.828
015189;HUMANITAS UNIVERSITY;Rozzano;42.417;;524;20;430;9,97;25,15;120,53;555
016024;UNIVERSITÀ DEGLI STUDI DI BERGAMO;Bergamo;120.287;;10.210;989;9.197;10,96;20,88;32,90;2.056
017029;UNIVERSITÀ DEGLI STUDI DI BRESCIA;Brescia;196.670;;13.353;2.290;11.045;13,29;23,40;36,26;1.908
018110;UNIVERSITÀ DEGLI STUDI DI PAVIA;Pavia;72.612;;18.160;2.006;16.046;24,44;41,49;123,51;590
021008;LIBERA UNIVERSITÀ DI BOLZANO;Bolzano;106.951;;1.679;409;1.198;24,29;46,98;111,58;1.126
022205;UNIVERSITÀ DEGLI STUDI DI TRENTO;Trento;117.417;;12.709;1.630;11.064;40,23;70,78;109,80;1.498
023091;UNIVERSITÀ DEGLI STUDI DI VERONA;Verona;257.353;;15.093;2.667;12.400;22,14;39,72;67,54;3.257
027042;"UNIVERSITÀ ""CA' FOSCARI"" DI VENEZIA;
UNIVERSITÀ IUAV DI VENEZIA";Venezia;261.905;;17.746;1.680;15.851;33,22;55,38;114,56;2.664
028060;UNIVERSITÀ DEGLI STUDI DI PADOVA;Padova;209.829;;39.538;4.042;35.374;25,53;40,87;78,04;2.184
030129;UNIVERSITÀ DEGLI STUDI DI UDINE;Udine;99.341;;10.628;1.318;9.273;18,47;36,91;65,55;1.234
032006;UNIVERSITÀ DEGLI STUDI DI TRIESTE;Trieste;204.234;;10.968;3.085;7.604;49,98;92,66;132,75;1.130
034027;UNIVERSITÀ DEGLI STUDI DI PARMA;Parma;194.417;;18.916;3.274;15.611;27,99;63,85;563,98;1.310
036023;UNIVERSITÀ DEGLI STUDI DI MODENA E REGGIO EMILIA;Modena;184.727;;11.829;2.153;9.648;16,36;28,99;169,70;2.132
037006;UNIVERSITÀ DEGLI STUDI DI BOLOGNA;Bologna;388.367;;50.708;7.621;42.531;48,97;122,55;359,63;2.066
038008;UNIVERSITÀ DEGLI STUDI DI FERRARA;Ferrara;132.009;;12.188;2.195;9.949;30,10;55,01;126,05;1.032
041067;"UNIVERSITÀ DEGLI STUDI DI URBINO ""CARLO BO""";Urbino;14.844;;10.294;410;9.649;33,49;81,92;358,87;170
042002;UNIVERSITÀ POLITECNICA DELLE MARCHE;Ancona;100.696;;11.452;1.246;10.192;29,14;54,17;111,66;1.435
043007;UNIVERSITÀ DEGLI STUDI DI CAMERINO;Camerino;7.007;;3.607;430;3.128;42,29;59,59;205,22;149
043023;UNIVERSITÀ DEGLI STUDI DI MACERATA;Macerata;42.209;;7.533;532;6.984;22,35;35,61;74,23;767
048017;UNIVERSITÀ DEGLI STUDI DI FIRENZE;Firenze;382.258;;39.925;7.851;31.875;17,79;37,11;104,45;1.690
050026;UNIVERSITÀ DI PISA;Pisa;90.488;;37.850;2.951;34.795;20,77;47,04;343,92;444
052032;"UNIVERSITÀ DEGLI STUDI DI SIENA; 
UNIVERSITÀ PER STRANIERI DI SIENA";Siena;53.772;;14.228;1.629;12.488;47,54;227,86;515,73;634
054039;"UNIVERSITÀ DEGLI STUDI DI PERUGIA;
UNIVERSITÀ PER STRANIERI DI PERUGIA";Perugia;166.676;;17.776;3.887;13.845;30,71;50,30;213,93;1.166
