Tavola 6 - Popolazione residente, popolazione universitaria (valori assoluti) e quartili delle distanze tra luogo di residenza e comune sede di Ateneo  - Città universitarie. Dicembre 2019;;;;;;;;;;;
;;;;;;;;;;;
Dati di base ;;;;;Popolazione universitaria;;;;;;
Codice Istat comune sede di Ateneo;Denominazione ;Denominazione comune sede di Ateneo;Popolazione residente anagrafica 31/12/2019;;Studenti universitari insistenti sul comune sede di Ateneo (*);Studenti universitari con mobilità all'interno del proprio comune ;Mobilità in entrata da altro comune;;;;Studenti universitari con mobilità in uscita dal proprio comune
;;;;;;;Studenti universitari;Quartili delle distanze tra origine e destinazione (in km);;;
;;;;;;;;;;;
;;;;;;;;Q1 ;Q2;Q3;
001272;"UNIVERSITÀ DEGLI STUDI DI TORINO;                                                       
POLITECNICO DI TORINO";Torino;848.533;;71.404;17.673;53.190;22,40;64,71;607,90;2.750
002158;"UNIVERSITÀ DEGLI STUDI DEL PIEMONTE ORIENTALE ""AMEDEO AVOGADRO""";Vercelli;45.781;;983;88;892;21,12;35,34;47,02;745
004029;UNIVERSITÀ NON STATALE DI SCIENZE GASTRONOMICHE;Bra;29.415;;296;82;210;43,88;135,42;288,72;419
007003;UNIVERSITÀ DELLA VALLE D'AOSTA;Aosta;33.546;;425;60;363;22,84;60,27;120,71;478
010025;UNIVERSITÀ DEGLI STUDI DI GENOVA;Genova;558.883;;18.893;9.276;9.512;32,56;44,21;92,99;2.471
012042;"UNIVERSITÀ ""CARLO CATTANEO"" - LIUC";Castellanza;14.310;;2.060;49;2.009;12,40;27,94;286,46;209
012133;UNIVERSITÀ DEGLI STUDI INSUBRIA VARESE-COMO;Varese;79.603;;5.859;474;5.367;14,08;21,53;30,49;1.073
015146;"LIBERA UNIVERSITÀ ""VITA SALUTE S.RAFFAELE""  MILANO; 
UNIVERSITÀ DEGLI STUDI DI MILANO - BICOCCA;
UNIVERSITÀ DEGLI STUDI DI MILANO;
POLITECNICO DI MILANO;
UNIVERSITA' COMMERCIALE ""LUIGI BOCCONI"" MILANO;
UNIVERSITÀ CATTOLICA DEL SACRO CUORE;
LIBERA UNIVERSITÀ DI LINGUE E COMUNICAZIONE IULM-MI";Milano;1.393.896;;133.431;26.343;104.302;21,18;43,46;201,12;4.972
015189;HUMANITAS UNIVERSITY;Rozzano;41.479;;320;10;289;9,97;9,97;109,09;552
016024;UNIVERSITÀ DEGLI STUDI DI BERGAMO;Bergamo;118.572;;9.979;897;9.067;11,51;21,93;34,37;1.762
017029;UNIVERSITÀ DEGLI STUDI DI BRESCIA;Brescia;193.833;;12.029;1.949;10.072;12,71;24,06;36,46;1.714
018110;"UNIVERSITÀ DEGLI STUDI DI PAVIA;
ISTITUTO UNIVERSITARIO STUDI SUPERIORI (IUSS)";Pavia;70.744;;17.053;1.833;15.109;24,44;39,98;123,51;674
021008;LIBERA UNIVERSITÀ DI BOLZANO;Bolzano;105.568;;1.724;428;1.213;24,92;51,16;132,14;1.070
022205;UNIVERSITÀ DEGLI STUDI DI TRENTO;Trento;118.068;;11.705;1.473;10.174;48,53;76,76;144,15;1.379
023091;UNIVERSITÀ DEGLI STUDI DI VERONA;Verona;255.433;;10.320;1.715;8.582;21,24;39,34;67,94;2.839
027042;"UNIVERSITÀ ""CA' FOSCARI"" DI VENEZIA;
UNIVERSITÀ IUAV DI VENEZIA";Venezia;256.015;;13.928;1.492;12.242;32,26;54,35;117,20;2.549
028060;UNIVERSITÀ DEGLI STUDI DI PADOVA;Padova;205.714;;30.339;3.232;26.962;24,47;40,87;80,87;2.147
030129;UNIVERSITÀ DEGLI STUDI DI UDINE;Udine;99.326;;8.865;1.038;7.807;18,40;36,45;62,86;1.225
032006;UNIVERSITÀ DEGLI STUDI DI TRIESTE;Trieste;198.526;;9.920;2.602;7.104;55,98;93,97;150,35;1.149
034027;UNIVERSITÀ DEGLI STUDI DI PARMA;Parma;197.290;;18.251;3.016;15.205;32,28;69,33;525,42;1.272
036023;UNIVERSITÀ DEGLI STUDI DI MODENA E REGGIO EMILIA;Modena;186.698;;11.570;1.820;9.740;18,05;35,30;302,84;2.021
037006;UNIVERSITÀ DEGLI STUDI DI BOLOGNA;Bologna;391.382;;43.437;6.578;36.430;48,97;123,45;336,50;2.394
038008;UNIVERSITÀ DEGLI STUDI DI FERRARA;Ferrara;131.149;;16.489;1.925;14.537;43,86;79,29;344,55;911
041067;"UNIVERSITÀ DEGLI STUDI DI URBINO ""CARLO BO""";Urbino;13.801;;8.671;299;8.207;33,49;77,74;335,14;128
042002;UNIVERSITÀ POLITECNICA DELLE MARCHE;Ancona;98.716;;9.224;955;8.262;33,85;58,70;127,52;1.289
043007;UNIVERSITÀ DEGLI STUDI DI CAMERINO;Camerino;6.292;;2.726;322;2.380;38,95;58,55;188,44;119
043023;UNIVERSITÀ DEGLI STUDI DI MACERATA;Macerata;40.776;;6.087;428;5.640;20,90;35,61;64,34;618
048017;UNIVERSITÀ DEGLI STUDI DI FIRENZE;Firenze;363.511;;35.054;6.988;27.940;17,79;37,11;99,16;1.860
050026;"UNIVERSITÀ DI PISA;
SCUOLA SUPERIORE SANT'ANNA;
SCUOLA NORMALE SUPERIORE";Pisa;89.053;;33.309;2.739;30.556;20,36;47,04;259,28;524
052032;"UNIVERSITÀ DEGLI STUDI DI SIENA; 
UNIVERSITÀ PER STRANIERI DI SIENA";Siena;53.521;;12.240;1.468;10.743;47,54;151,08;474,64;586
