ANNO_SOLARE;CODICE_REGIONE;NOME_REGIONE;CODICE_ENTE;NOME_ENTE;CODICE_ISTITUTO;NOME_ISTITUTO;TIPO_ISTITUTO;CODICE_SPESA;DESCRIZIONE_SPESA;SPESA_LAUREA;SPESA_DOTTORATO;SPESA_SPECIALIZZAZIONE
2016;01;Piemonte;0101;EDISU del Piemonte;00101;Università degli studi di Torino;Ateneo;1;Borse di studio - Spesa per borse concesse;17673411;22121;74467
2016;01;Piemonte;0101;EDISU del Piemonte;00101;Università degli studi di Torino;Ateneo;2;Borse di studio - Spesa per borse concesse - di cui Fondo Sociale Europeo;0;0;0
2016;01;Piemonte;0101;EDISU del Piemonte;00101;Università degli studi di Torino;Ateneo;3;Prestiti di onore e altri prestiti agevolati - Spesa per prestiti concessi;0;0;0
2016;01;Piemonte;0101;EDISU del Piemonte;00101;Università degli studi di Torino;Ateneo;4;Mobilità internazionale - Spesa per contributi concessi;421725;0;0
2016;01;Piemonte;0101;EDISU del Piemonte;00101;Università degli studi di Torino;Ateneo;5;Interventi a favore di studenti in situazione di handicap - Spesa per interventi concessi;44498;0;2611
2016;01;Piemonte;0101;EDISU del Piemonte;00101;Università degli studi di Torino;Ateneo;6;Attività di collaborazione a tempo parziale - Spesa per attività di collaborazioni a tempo parziale;142200;0;0
2016;01;Piemonte;0101;EDISU del Piemonte;00101;Università degli studi di Torino;Ateneo;7;Posti alloggio e contributi-alloggio - Spesa per contributi-alloggio assegnati;0;0;0
2016;01;Piemonte;0101;EDISU del Piemonte;00101;Università degli studi di Torino;Ateneo;8;Posti alloggio e contributi-alloggio - Spesa per contributi-alloggio assegnati - di cui spesa per contributi a borsisti (non beneficiari di alloggio);0;0;0
2016;01;Piemonte;0101;EDISU del Piemonte;00101;Università degli studi di Torino;Ateneo;9;Posti alloggio e contributi-alloggio - Spesa per contributi-alloggio assegnati - di cui spesa per contributi a idonei non borsisti (non beneficiari di alloggio);0;0;0
2016;01;Piemonte;0101;EDISU del Piemonte;00101;Università degli studi di Torino;Ateneo;10;Posti alloggio e contributi-alloggio - Spesa per contributi-alloggio assegnati - di cui spesa per contributi a studenti non idonei alla borsa;0;0;0
2016;01;Piemonte;0101;EDISU del Piemonte;00101;Università degli studi di Torino;Ateneo;11;Altri interventi di tipo finanziario - Spesa per premi per il conseguimento del titolo;100189;0;0
2016;01;Piemonte;0101;EDISU del Piemonte;00101;Università degli studi di Torino;Ateneo;12;Altri interventi di tipo finanziario - Spesa per contributi finanziari per il trasporto;0;0;0
2016;01;Piemonte;0101;EDISU del Piemonte;00101;Università degli studi di Torino;Ateneo;13;Altri interventi di tipo finanziario - Spesa per contributi straordinari;1930;0;0
2016;01;Piemonte;0101;EDISU del Piemonte;00101;Università degli studi di Torino;Ateneo;14;Altri interventi di tipo finanziario - Spesa per altri sussidi concessi;0;0;0
2016;01;Piemonte;0101;EDISU del Piemonte;00102;Politecnico di Torino;Ateneo;1;Borse di studio - Spesa per borse concesse;14949893;45880;0
2016;01;Piemonte;0101;EDISU del Piemonte;00102;Politecnico di Torino;Ateneo;2;Borse di studio - Spesa per borse concesse - di cui Fondo Sociale Europeo;0;0;0
2016;01;Piemonte;0101;EDISU del Piemonte;00102;Politecnico di Torino;Ateneo;3;Prestiti di onore e altri prestiti agevolati - Spesa per prestiti concessi;0;0;0
2016;01;Piemonte;0101;EDISU del Piemonte;00102;Politecnico di Torino;Ateneo;4;Mobilità internazionale - Spesa per contributi concessi;332355;5710;0
2016;01;Piemonte;0101;EDISU del Piemonte;00102;Politecnico di Torino;Ateneo;5;Interventi a favore di studenti in situazione di handicap - Spesa per interventi concessi;7135;0;0
2016;01;Piemonte;0101;EDISU del Piemonte;00102;Politecnico di Torino;Ateneo;6;Attività di collaborazione a tempo parziale - Spesa per attività di collaborazioni a tempo parziale;72000;0;0
2016;01;Piemonte;0101;EDISU del Piemonte;00102;Politecnico di Torino;Ateneo;7;Posti alloggio e contributi-alloggio - Spesa per contributi-alloggio assegnati;0;0;0
2016;01;Piemonte;0101;EDISU del Piemonte;00102;Politecnico di Torino;Ateneo;8;Posti alloggio e contributi-alloggio - Spesa per contributi-alloggio assegnati - di cui spesa per contributi a borsisti (non beneficiari di alloggio);0;0;0
2016;01;Piemonte;0101;EDISU del Piemonte;00102;Politecnico di Torino;Ateneo;9;Posti alloggio e contributi-alloggio - Spesa per contributi-alloggio assegnati - di cui spesa per contributi a idonei non borsisti (non beneficiari di alloggio);0;0;0
2016;01;Piemonte;0101;EDISU del Piemonte;00102;Politecnico di Torino;Ateneo;10;Posti alloggio e contributi-alloggio - Spesa per contributi-alloggio assegnati - di cui spesa per contributi a studenti non idonei alla borsa;0;0;0
2016;01;Piemonte;0101;EDISU del Piemonte;00102;Politecnico di Torino;Ateneo;11;Altri interventi di tipo finanziario - Spesa per premi per il conseguimento del titolo;97256;0;0
2016;01;Piemonte;0101;EDISU del Piemonte;00102;Politecnico di Torino;Ateneo;12;Altri interventi di tipo finanziario - Spesa per contributi finanziari per il trasporto;0;0;0
2016;01;Piemonte;0101;EDISU del Piemonte;00102;Politecnico di Torino;Ateneo;13;Altri interventi di tipo finanziario - Spesa per contributi straordinari;3439;0;0
2016;01;Piemonte;0101;EDISU del Piemonte;00102;Politecnico di Torino;Ateneo;14;Altri interventi di tipo finanziario - Spesa per altri sussidi concessi;0;0;0
2016;01;Piemonte;0101;EDISU del Piemonte;001101001272;"Accademia di Belle Arti ''ALBERTINA"" di Torino";AltaFormazione;1;Borse di studio - Spesa per borse concesse;1157488;;
2016;01;Piemonte;0101;EDISU del Piemonte;001101001272;"Accademia di Belle Arti ''ALBERTINA"" di Torino";AltaFormazione;2;Borse di studio - Spesa per borse concesse - di cui Fondo Sociale Europeo;0;;
2016;01;Piemonte;0101;EDISU del Piemonte;001101001272;"Accademia di Belle Arti ''ALBERTINA"" di Torino";AltaFormazione;3;Prestiti di onore e altri prestiti agevolati - Spesa per prestiti concessi;0;;
2016;01;Piemonte;0101;EDISU del Piemonte;001101001272;"Accademia di Belle Arti ''ALBERTINA"" di Torino";AltaFormazione;4;Mobilità internazionale - Spesa per contributi concessi;10010;;
2016;01;Piemonte;0101;EDISU del Piemonte;001101001272;"Accademia di Belle Arti ''ALBERTINA"" di Torino";AltaFormazione;5;Interventi a favore di studenti in situazione di handicap - Spesa per interventi concessi;1343;;
2016;01;Piemonte;0101;EDISU del Piemonte;001101001272;"Accademia di Belle Arti ''ALBERTINA"" di Torino";AltaFormazione;6;Attività di collaborazione a tempo parziale - Spesa per attività di collaborazioni a tempo parziale;0;;
2016;01;Piemonte;0101;EDISU del Piemonte;001101001272;"Accademia di Belle Arti ''ALBERTINA"" di Torino";AltaFormazione;7;Posti alloggio e contributi-alloggio - Spesa per contributi-alloggio assegnati;0;;
2016;01;Piemonte;0101;EDISU del Piemonte;001101001272;"Accademia di Belle Arti ''ALBERTINA"" di Torino";AltaFormazione;8;Posti alloggio e contributi-alloggio - Spesa per contributi-alloggio assegnati - di cui spesa per contributi a borsisti (non beneficiari di alloggio);0;;
2016;01;Piemonte;0101;EDISU del Piemonte;001101001272;"Accademia di Belle Arti ''ALBERTINA"" di Torino";AltaFormazione;9;Posti alloggio e contributi-alloggio - Spesa per contributi-alloggio assegnati - di cui spesa per contributi a idonei non borsisti (non beneficiari di alloggio);0;;
2016;01;Piemonte;0101;EDISU del Piemonte;001101001272;"Accademia di Belle Arti ''ALBERTINA"" di Torino";AltaFormazione;10;Posti alloggio e contributi-alloggio - Spesa per contributi-alloggio assegnati - di cui spesa per contributi a studenti non idonei alla borsa;0;;
2016;01;Piemonte;0101;EDISU del Piemonte;001101001272;"Accademia di Belle Arti ''ALBERTINA"" di Torino";AltaFormazione;11;Altri interventi di tipo finanziario - Spesa per premi per il conseguimento del titolo;8416;;
2016;01;Piemonte;0101;EDISU del Piemonte;001101001272;"Accademia di Belle Arti ''ALBERTINA"" di Torino";AltaFormazione;12;Altri interventi di tipo finanziario - Spesa per contributi finanziari per il trasporto;0;;
2016;01;Piemonte;0101;EDISU del Piemonte;001101001272;"Accademia di Belle Arti ''ALBERTINA"" di Torino";AltaFormazione;13;Altri interventi di tipo finanziario - Spesa per contributi straordinari;0;;
2016;01;Piemonte;0101;EDISU del Piemonte;001101001272;"Accademia di Belle Arti ''ALBERTINA"" di Torino";AltaFormazione;14;Altri interventi di tipo finanziario - Spesa per altri sussidi concessi;0;;
2016;01;Piemonte;0101;EDISU del Piemonte;001402001272;"Conservatorio ''Giuseppe Verdi"" di Torino";AltaFormazione;1;Borse di studio - Spesa per borse concesse;73971;;
2016;01;Piemonte;0101;EDISU del Piemonte;001402001272;"Conservatorio ''Giuseppe Verdi"" di Torino";AltaFormazione;2;Borse di studio - Spesa per borse concesse - di cui Fondo Sociale Europeo;0;;
2016;01;Piemonte;0101;EDISU del Piemonte;001402001272;"Conservatorio ''Giuseppe Verdi"" di Torino";AltaFormazione;3;Prestiti di onore e altri prestiti agevolati - Spesa per prestiti concessi;0;;
2016;01;Piemonte;0101;EDISU del Piemonte;001402001272;"Conservatorio ''Giuseppe Verdi"" di Torino";AltaFormazione;4;Mobilità internazionale - Spesa per contributi concessi;0;;
2016;01;Piemonte;0101;EDISU del Piemonte;001402001272;"Conservatorio ''Giuseppe Verdi"" di Torino";AltaFormazione;5;Interventi a favore di studenti in situazione di handicap - Spesa per interventi concessi;0;;
2016;01;Piemonte;0101;EDISU del Piemonte;001402001272;"Conservatorio ''Giuseppe Verdi"" di Torino";AltaFormazione;6;Attività di collaborazione a tempo parziale - Spesa per attività di collaborazioni a tempo parziale;0;;
