_id;ANNO_ACCADEMICO;COD_Ateneo;NOME_ATENEO;TASSA_MEDIA_PAGANTI_LAUREA;TASSA_MEDIA_TOTALE_ISCRITTI_LAUREA
1;2015-2016;TTTTT;Totale Italia;1531,35;1374,54
2;2015-2016;SSSSS;Totale Atenei Statali;1214,83;1090,56
3;2015-2016;LLLLL;Totale Atenei Non Statali;4535,68;4066,75
4;2015-2016;00101;Torino - Università degli studi;1374,95;1275,1
5;2015-2016;00102;Torino - Politecnico;1093,96;948,63
6;2015-2016;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";1314,37;1230,55
7;2015-2016;00401;Bra (CN) - Università di Scienze Gastronomiche;10307,32;8798,04
8;2015-2016;00701;Aosta - Università degli studi;1356,28;1187,87
9;2015-2016;01001;Genova - Università degli studi;1445,01;1319,39
10;2015-2016;01201;"Castellanza - Università ""Carlo Cattaneo""";6716,98;6515,16
11;2015-2016;01202;Varese - Università dell' Insubria;1871,42;1816,21
12;2015-2016;01301;"Novedrate (CO) - Università telematica ""e-Campus""";4054,43;3654,36
13;2015-2016;01501;Milano - Università degli studi;1745,93;1639,18
14;2015-2016;01502;Milano - Politecnico;2102,38;1911,13
15;2015-2016;01503;"Milano - Università commerciale ""Luigi Bocconi""";10166,2;9234,32
16;2015-2016;01504;"Milano - Università Cattolica del ""Sacro Cuore""";5207,5;4819,32
17;2015-2016;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);5588;5267,05
18;2015-2016;01508;Milano - Università Vita-Salute San Raffaele;7934,58;7707,13
19;2015-2016;01509;Milano-Bicocca - Università degli studi;1345,25;1236,69
20;2015-2016;01510;Rozzano (MI) Humanitas University;7860,27;7813,76
21;2015-2016;01601;Bergamo - Università degli studi;1188,95;1074,56
22;2015-2016;01701;Brescia - Università degli studi;1281,26;1186,79
23;2015-2016;01801;Pavia - Università degli studi;1651,64;1525,36
24;2015-2016;01802;Pavia - Istituto universitario di studi superiori;0;0
25;2015-2016;02101;Bolzano - Libera Università;1176,23;754,26
26;2015-2016;02201;Trento - Università degli studi;1408,93;1151,04
27;2015-2016;02301;Verona - Università degli studi;1473,38;1346,6
28;2015-2016;02701;"Venezia - Università degli studi ""Cà Foscari""";1505,74;1334,2
29;2015-2016;02702;Venezia - Università IUAV;1930,97;1684,74
30;2015-2016;02801;Padova - Università degli studi;1568,98;1401,68
31;2015-2016;03001;Udine - Università degli studi;1467,27;1284,46
32;2015-2016;03201;Trieste - Università degli studi;1280,77;1115,98
33;2015-2016;03202;Trieste - Scuola internazionale superiore di studi avanzati;0;0
34;2015-2016;03401;Parma - Università degli studi;1106,84;1007,89
35;2015-2016;03601;Modena e Reggio Emilia - Università degli studi;1534,08;1361,86
36;2015-2016;03701;Bologna - Università degli studi;1512,33;1305,65
37;2015-2016;03801;Ferrara - Università degli studi;1146,17;1037,97
38;2015-2016;04101;"Urbino - Università degli studi ""Carlo Bo""";1339,94;1188,41
39;2015-2016;04201;Ancona - Università Politecnica delle Marche;1076,14;987,87
40;2015-2016;04301;Macerata - Università degli studi;883,83;779,67
41;2015-2016;04302;Camerino - Università degli studi;1073,64;916,31
42;2015-2016;04601;Lucca - Scuola IMT Alti Studi;0;0
43;2015-2016;04801;Firenze - Università degli studi;976,19;902,41
44;2015-2016;04804;"Firenze - Università telematica ""Italian University line""";1644,68;1644,68
45;2015-2016;05001;Pisa - Università degli studi;1161,2;1010,47
