_id,AnnoA,AteneoCOD,AteneoNOME,Isc_S
1,2021/2022,101,Torino,5062
2,2021/2022,102,Torino Politecnico,5857
3,2021/2022,201,Piemonte Orientale,1226
4,2021/2022,401,Bra Scienze Gastronomiche,75
5,2021/2022,701,Aosta,52
6,2021/2022,1001,Genova,3416
7,2021/2022,1201,Castellanza LIUC,59
8,2021/2022,1202,Insubria,699
9,2021/2022,1301,Novedrate e-Campus - telematica,1030
10,2021/2022,1501,Milano,4845
11,2021/2022,1502,Milano Politecnico,7477
12,2021/2022,1503,Milano Bocconi,2765
13,2021/2022,1504,Milano Cattolica,2413
14,2021/2022,1505,Milano IULM,339
15,2021/2022,1508,Milano San Raffaele,246
16,2021/2022,1509,Milano Bicocca,1930
17,2021/2022,1510,Rozzano (MI) Humanitas University,310
18,2021/2022,1601,Bergamo,1297
19,2021/2022,1701,Brescia,1110
20,2021/2022,1801,Pavia,2651
21,2021/2022,2101,Bolzano,623
22,2021/2022,2201,Trento,879
23,2021/2022,2301,Verona,1074
24,2021/2022,2701,Venezia Cà Foscari,1646
25,2021/2022,2702,Venezia Iuav,409
26,2021/2022,2801,Padova,5683
27,2021/2022,3001,Udine,670
28,2021/2022,3201,Trieste,1079
29,2021/2022,3401,Parma,2112
30,2021/2022,3601,Modena e Reggio Emilia,1313
31,2021/2022,3701,Bologna,8371
32,2021/2022,3801,Ferrara,1143
33,2021/2022,4101,Urbino,762
34,2021/2022,4201,Marche,816
35,2021/2022,4301,Macerata,476
36,2021/2022,4302,Camerino,533
37,2021/2022,4801,Firenze,3853
38,2021/2022,4804,Firenze IUL - telematica,30
39,2021/2022,5001,Pisa,1970
40,2021/2022,5201,Siena,1517
41,2021/2022,5202,Siena Stranieri,229
42,2021/2022,5401,Perugia,1770
43,2021/2022,5403,Perugia Stranieri,425
44,2021/2022,5601,Tuscia,294
45,2021/2022,5801,Roma La Sapienza,9165
46,2021/2022,5802,Roma Tor Vergata,2573
47,2021/2022,5803,Roma LUMSA,299
48,2021/2022,5805,Roma LUISS,593
49,2021/2022,5806,Roma Foro Italico,40
50,2021/2022,5807,Roma Tre,1497
51,2021/2022,5808,Roma Biomedico,50
52,2021/2022,5809,Roma UNINT,53
53,2021/2022,5810,Roma Marconi - telematica,293
54,2021/2022,5811,Roma UNITELMA - telematica,85
55,2021/2022,5812,Roma Europea,34
56,2021/2022,5813,Roma UNINETTUNO - telematica,988
57,2021/2022,5814,Roma  Mercatorum - telematica,816
58,2021/2022,5815,Roma UNICUSANO - telematica,801
59,2021/2022,5816,Roma San Raffaele - telematica,114
60,2021/2022,5817,Roma Link Campus,36
61,2021/2022,5818,Roma Saint Camillus,409
62,2021/2022,6001,Cassino,933
63,2021/2022,6201,Sannio,29
64,2021/2022,6202,Benevento Giustino Fortunato - telematica,38
65,2021/2022,6301,Napoli Federico II,863
66,2021/2022,6302,Napoli Parthenope,163
67,2021/2022,6303,Napoli L'Orientale,395
68,2021/2022,6304,Napoli Benincasa,57
69,2021/2022,6306,Napoli Vanvitelli,569
70,2021/2022,6307,Napoli Pegaso - telematica,475
71,2021/2022,6501,Salerno,421
72,2021/2022,6601,L'Aquila,625
73,2021/2022,6701,Teramo,177
74,2021/2022,6901,Chieti e Pescara,542
75,2021/2022,6902,Torrevecchia Teatina Leonardo da Vinci - telematica,1
76,2021/2022,7001,Molise,91
77,2021/2022,7101,Foggia,145
