_id,AnnoA,AteneoNOME,AteneoCOD,SESSO,Isc
1,2021/2022,Aosta,701,F,704
2,2021/2022,Aosta,701,M,280
3,2021/2022,Bari,7201,F,25335
4,2021/2022,Bari,7201,M,15195
5,2021/2022,Bari Politecnico,7202,F,3000
6,2021/2022,Bari Politecnico,7202,M,6839
7,2021/2022,Basilicata,7601,F,3475
8,2021/2022,Basilicata,7601,M,2396
9,2021/2022,Benevento Giustino Fortunato - telematica,6202,F,1127
10,2021/2022,Benevento Giustino Fortunato - telematica,6202,M,835
11,2021/2022,Bergamo,1601,F,12401
12,2021/2022,Bergamo,1601,M,7546
13,2021/2022,Bologna,3701,F,47457
14,2021/2022,Bologna,3701,M,36785
15,2021/2022,Bolzano,2101,F,2790
16,2021/2022,Bolzano,2101,M,1256
17,2021/2022,Bra Scienze Gastronomiche,401,F,185
18,2021/2022,Bra Scienze Gastronomiche,401,M,167
19,2021/2022,Brescia,1701,F,7001
20,2021/2022,Brescia,1701,M,8012
21,2021/2022,Cagliari,9201,F,14486
22,2021/2022,Cagliari,9201,M,9887
23,2021/2022,Calabria,7801,F,13642
24,2021/2022,Calabria,7801,M,9774
25,2021/2022,Camerino,4302,F,2839
26,2021/2022,Camerino,4302,M,2877
27,2021/2022,Casamassima - G.Degennaro,7203,F,675
28,2021/2022,Casamassima - G.Degennaro,7203,M,925
29,2021/2022,Cassino,6001,F,3673
30,2021/2022,Cassino,6001,M,3513
31,2021/2022,Castellanza LIUC,1201,F,972
32,2021/2022,Castellanza LIUC,1201,M,1878
33,2021/2022,Catania,8701,F,21745
34,2021/2022,Catania,8701,M,15857
35,2021/2022,Catanzaro,7901,F,6667
36,2021/2022,Catanzaro,7901,M,4222
37,2021/2022,Chieti e Pescara,6901,F,14036
38,2021/2022,Chieti e Pescara,6901,M,7658
39,2021/2022,Enna KORE,8601,F,3262
40,2021/2022,Enna KORE,8601,M,1441
41,2021/2022,Ferrara,3801,F,15800
42,2021/2022,Ferrara,3801,M,10453
43,2021/2022,Firenze,4801,F,31011
44,2021/2022,Firenze,4801,M,22045
45,2021/2022,Firenze IUL - telematica,4804,F,717
46,2021/2022,Firenze IUL - telematica,4804,M,290
47,2021/2022,Foggia,7101,F,7807
48,2021/2022,Foggia,7101,M,4503
49,2021/2022,Genova,1001,F,17869
50,2021/2022,Genova,1001,M,13991
51,2021/2022,Insubria,1202,F,6391
52,2021/2022,Insubria,1202,M,5385
53,2021/2022,L'Aquila,6601,F,8608
54,2021/2022,L'Aquila,6601,M,7552
55,2021/2022,Macerata,4301,F,7306
56,2021/2022,Macerata,4301,M,2505
57,2021/2022,Marche,4201,F,6706
58,2021/2022,Marche,4201,M,7944
59,2021/2022,Messina,8301,F,14555
60,2021/2022,Messina,8301,M,8715
61,2021/2022,Milano,1501,F,36277
62,2021/2022,Milano,1501,M,24711
63,2021/2022,Milano Bicocca,1509,F,21850
64,2021/2022,Milano Bicocca,1509,M,13357
65,2021/2022,Milano Bocconi,1503,F,5666
66,2021/2022,Milano Bocconi,1503,M,8077
67,2021/2022,Milano Cattolica,1504,F,28343
68,2021/2022,Milano Cattolica,1504,M,13840
69,2021/2022,Milano IULM,1505,F,5610
70,2021/2022,Milano IULM,1505,M,1779
71,2021/2022,Milano Politecnico,1502,F,16139
72,2021/2022,Milano Politecnico,1502,M,30783
73,2021/2022,Milano San Raffaele,1508,F,2570
74,2021/2022,Milano San Raffaele,1508,M,1311
75,2021/2022,Modena e Reggio Emilia,3601,F,14216
76,2021/2022,Modena e Reggio Emilia,3601,M,12539
77,2021/2022,Molise,7001,F,4008
78,2021/2022,Molise,7001,M,2641
79,2021/2022,Napoli Benincasa,6304,F,7353
80,2021/2022,Napoli Benincasa,6304,M,1296
81,2021/2022,Napoli Federico II,6301,F,40995
82,2021/2022,Napoli Federico II,6301,M,32558
83,2021/2022,Napoli L'Orientale,6303,F,8797
84,2021/2022,Napoli L'Orientale,6303,M,2221
85,2021/2022,Napoli Parthenope,6302,F,4646
86,2021/2022,Napoli Parthenope,6302,M,6576
87,2021/2022,Napoli Pegaso - telematica,6307,F,14421
88,2021/2022,Napoli Pegaso - telematica,6307,M,13466
89,2021/2022,Napoli Vanvitelli,6306,F,13303
90,2021/2022,Napoli Vanvitelli,6306,M,8857
91,2021/2022,Novedrate e-Campus - telematica,1301,F,19462
92,2021/2022,Novedrate e-Campus - telematica,1301,M,16582
93,2021/2022,Padova,2801,F,35689
94,2021/2022,Padova,2801,M,30753
95,2021/2022,Palermo,8201,F,24621
96,2021/2022,Palermo,8201,M,16989
97,2021/2022,Parma,3401,F,17183
98,2021/2022,Parma,3401,M,11951
99,2021/2022,Pavia,1801,F,13793
100,2021/2022,Pavia,1801,M,10586
101,2021/2022,Perugia,5401,F,16582
102,2021/2022,Perugia,5401,M,11003
103,2021/2022,Perugia Stranieri,5403,F,703
104,2021/2022,Perugia Stranieri,5403,M,367
105,2021/2022,Piemonte Orientale,201,F,8485
106,2021/2022,Piemonte Orientale,201,M,5454
107,2021/2022,Pisa,5001,F,22576
108,2021/2022,Pisa,5001,M,21008
109,2021/2022,Reggio Calabria,8001,F,2788
110,2021/2022,Reggio Calabria,8001,M,1994
111,2021/2022,Reggio Calabria - Dante Alighieri,8003,F,410
112,2021/2022,Reggio Calabria - Dante Alighieri,8003,M,85
113,2021/2022,Roma  Mercatorum - telematica,5814,F,13485
114,2021/2022,Roma  Mercatorum - telematica,5814,M,19163
115,2021/2022,Roma Biomedico,5808,F,1496
116,2021/2022,Roma Biomedico,5808,M,959
117,2021/2022,Roma Europea,5812,F,1550
118,2021/2022,Roma Europea,5812,M,513
119,2021/2022,Roma Foro Italico,5806,F,603
