Tavola 6 - Popolazione residente, popolazione universitaria (valori assoluti) e quartili delle distanze tra luogo di residenza e comune sede di Ateneo  - Città universitarie. Dicembre 2017;;;;;;;;;;;
;;;;;;;;;;;
Dati di base ;;;;;Popolazione universitaria;;;;;;
Codice Istat comune sede di Ateneo;Denominazione ;Denominazione comune sede di Ateneo;Popolazione residente anagrafica 01/01/2018;;Studenti universitari iscritti nel comune sede di Ateneo (*);Studenti universitari con mobilità all'interno del proprio comune ;Mobilità in entrata da altro comune;;;;Studenti universitari con mobilità in uscita dal proprio comune
;;;;;;;Studenti universitari;Quartili delle distanze tra origine e destinazione (in km);;;
;;;;;;;;;;;
;;;;;;;;Q1 ;Q2;Q3;
001272;"UNIVERSITÀ DEGLI STUDI DI TORINO;                                                       
POLITECNICO DI TORINO";Torino;882.523;;75.132;18.160;56.588;22,94;65,31;623,20;2.615
002158;"UNIVERSITÀ DEGLI STUDI DEL PIEMONTE ORIENTALE ""AMEDEO AVOGADRO""";Vercelli;46.181;;982;106;871;20,62;32,67;43,57;795
004029;UNIVERSITÀ NON STATALE DI SCIENZE GASTRONOMICHE;Bra;29.645;;273;65;198;45,52;100,20;235,86;431
007003;UNIVERSITÀ DELLA VALLE D'AOSTA;Aosta;34.082;;452;62;387;22,84;65,35;128,97;525
010025;UNIVERSITÀ DEGLI STUDI DI GENOVA;Genova;580.097;;21.394;10.491;10.798;32,91;45,60;92,99;2.343
012042;"UNIVERSITÀ ""CARLO CATTANEO"" - LIUC";Castellanza;14.340;;1.820;42;1.776;11,39;27,94;230,03;246
012133;UNIVERSITÀ DEGLI STUDI INSUBRIA VARESE-COMO;Varese;80.544;;5.749;548;5.174;13,16;20,39;29,49;1.223
015146;"LIBERA UNIVERSITÀ ""VITA SALUTE S.RAFFAELE""  MILANO; 
UNIVERSITÀ DEGLI STUDI DI MILANO - BICOCCA;
UNIVERSITÀ DEGLI STUDI DI MILANO;
POLITECNICO DI MILANO;
UNIVERSITA' COMMERCIALE ""LUIGI BOCCONI"" MILANO;
UNIVERSITÀ CATTOLICA DEL SACRO CUORE;
LIBERA UNIVERSITÀ DI LINGUE E COMUNICAZIONE IULM-MI";Milano;1.366.180;;142.506;27.102;113.170;21,10;41,72;164,38;4.178
015189;HUMANITAS UNIVERSITY;Rozzano;42.442;;441;19;398;9,97;19,62;109,09;587
016024;UNIVERSITÀ DEGLI STUDI DI BERGAMO;Bergamo;120.923;;9.923;935;8.967;10,96;21,09;33,11;1.975
017029;UNIVERSITÀ DEGLI STUDI DI BRESCIA;Brescia;196.745;;12.553;2.066;10.480;13,72;23,72;36,46;1.862
018110;UNIVERSITÀ DEGLI STUDI DI PAVIA;Pavia;72.773;;17.992;1.960;15.921;24,44;40,88;127,01;650
021008;LIBERA UNIVERSITÀ DI BOLZANO;Bolzano;107.317;;1.674;437;1.180;24,29;51,16;130,81;1.113
022205;UNIVERSITÀ DEGLI STUDI DI TRENTO;Trento;117.997;;11.958;1.487;10.454;43,58;70,78;122,34;1.427
023091;UNIVERSITÀ DEGLI STUDI DI VERONA;Verona;257.275;;13.852;2.384;11.431;22,26;40,30;69,27;3.080
027042;"UNIVERSITÀ ""CA' FOSCARI"" DI VENEZIA;
UNIVERSITÀ IUAV DI VENEZIA";Venezia;261.321;;16.568;1.560;14.800;33,56;56,92;125,32;2.679
028060;UNIVERSITÀ DEGLI STUDI DI PADOVA;Padova;210.440;;36.963;3.606;33.206;25,85;41,04;81,58;2.157
030129;UNIVERSITÀ DEGLI STUDI DI UDINE;Udine;99.518;;9.675;1.227;8.430;18,40;36,45;64,73;1.231
032006;UNIVERSITÀ DEGLI STUDI DI TRIESTE;Trieste;204.338;;10.697;2.916;7.522;55,90;92,66;147,70;1.171
034027;UNIVERSITÀ DEGLI STUDI DI PARMA;Parma;195.687;;18.297;3.167;15.106;29,05;67,66;569,80;1.258
036023;UNIVERSITÀ DEGLI STUDI DI MODENA E REGGIO EMILIA;Modena;185.273;;11.812;1.999;9.793;16,36;31,79;273,82;2.005
037006;UNIVERSITÀ DEGLI STUDI DI BOLOGNA;Bologna;389.261;;48.193;7.338;40.477;48,97;129,91;380,64;2.226
038008;UNIVERSITÀ DEGLI STUDI DI FERRARA;Ferrara;132.278;;14.121;2.100;11.978;38,47;66,62;197,19;989
041067;"UNIVERSITÀ DEGLI STUDI DI URBINO ""CARLO BO""";Urbino;14.558;;9.325;369;8.802;33,49;84,58;363,00;135
042002;UNIVERSITÀ POLITECNICA DELLE MARCHE;Ancona;100.924;;10.437;1.175;9.256;33,70;58,69;129,90;1.298
043007;UNIVERSITÀ DEGLI STUDI DI CAMERINO;Camerino;6.956;;3.291;429;2.853;38,30;57,81;186,12;133
043023;UNIVERSITÀ DEGLI STUDI DI MACERATA;Macerata;41.776;;6.733;498;6.228;22,35;35,61;85,79;742
048017;UNIVERSITÀ DEGLI STUDI DI FIRENZE;Firenze;380.948;;37.431;7.350;29.952;19,45;37,11;111,11;1.729
050026;UNIVERSITÀ DI PISA;Pisa;90.118;;35.284;2.862;32.383;20,77;47,04;325,14;432
052032;"UNIVERSITÀ DEGLI STUDI DI SIENA; 
UNIVERSITÀ PER STRANIERI DI SIENA";Siena;53.901;;13.623;1.649;11.949;48,15;229,45;513,80;620
054039;"UNIVERSITÀ DEGLI STUDI DI PERUGIA;
UNIVERSITÀ PER STRANIERI DI PERUGIA";Perugia;165.683;;16.644;3.652;12.966;30,71;50,30;184,70;1.137
