Tavola 6 - Popolazione residente, popolazione universitaria (valori assoluti) e quartili delle distanze tra luogo di residenza e comune sede di Ateneo  - Città universitarie. Dicembre 2018;;;;;;;;;;;
;;;;;;;;;;;
Dati di base ;;;;;Popolazione universitaria;;;;;;
Codice Istat comune sede di Ateneo;Denominazione ;Denominazione comune sede di Ateneo;Popolazione residente anagrafica 31/12/2018;;Studenti universitari insistenti sul comune sede di Ateneo (*);Studenti universitari con mobilità all'interno del proprio comune ;Mobilità in entrata da altro comune;;;;Studenti universitari con mobilità in uscita dal proprio comune
;;;;;;;Studenti universitari;Quartili delle distanze tra origine e destinazione (in km);;;
;;;;;;;;;;;
;;;;;;;;Q1 ;Q2;Q3;
001272;"UNIVERSITÀ DEGLI STUDI DI TORINO;                                                       
POLITECNICO DI TORINO";Torino;860.793;;75.943;18.357;57.075;23,13;68,60;641,66;2.705
002158;"UNIVERSITÀ DEGLI STUDI DEL PIEMONTE ORIENTALE ""AMEDEO AVOGADRO""";Vercelli;46.372;;1.052;114;928;21,12;33,90;45,12;759
004029;UNIVERSITÀ NON STATALE DI SCIENZE GASTRONOMICHE;Bra;29.506;;295;69;217;43,88;131,59;277,68;458
007003;UNIVERSITÀ DELLA VALLE D'AOSTA;Aosta;34.169;;399;58;339;27,76;64,56;127,78;519
010025;UNIVERSITÀ DEGLI STUDI DI GENOVA;Genova;569.184;;20.226;10.054;10.097;32,87;45,76;92,99;2.457
012042;"UNIVERSITÀ ""CARLO CATTANEO"" - LIUC";Castellanza;14.449;;1.942;47;1.889;11,47;27,94;207,24;234
012133;UNIVERSITÀ DEGLI STUDI INSUBRIA VARESE-COMO;Varese;80.876;;6.020;540;5.431;13,30;20,68;30,09;1.165
015146;"LIBERA UNIVERSITÀ ""VITA SALUTE S.RAFFAELE""  MILANO; 
UNIVERSITÀ DEGLI STUDI DI MILANO - BICOCCA;
UNIVERSITÀ DEGLI STUDI DI MILANO;
POLITECNICO DI MILANO;
UNIVERSITA' COMMERCIALE ""LUIGI BOCCONI"" MILANO;
UNIVERSITÀ CATTOLICA DEL SACRO CUORE;
LIBERA UNIVERSITÀ DI LINGUE E COMUNICAZIONE IULM-MI";Milano;1.395.980;;140.992;26.996;111.153;21,17;42,27;180,31;4.666
015189;HUMANITAS UNIVERSITY;Rozzano;41.570;;402;19;360;9,97;16,39;105,30;595
016024;UNIVERSITÀ DEGLI STUDI DI BERGAMO;Bergamo;120.569;;10.319;936;9.368;11,79;21,93;33,95;1.926
017029;UNIVERSITÀ DEGLI STUDI DI BRESCIA;Brescia;196.134;;12.292;2.051;10.228;12,71;23,40;35,95;1.880
018110;"UNIVERSITÀ DEGLI STUDI DI PAVIA;
ISTITUTO UNIVERSITARIO STUDI SUPERIORI (IUSS)";Pavia;71.943;;18.361;1.951;16.297;24,52;40,20;124,50;666
021008;LIBERA UNIVERSITÀ DI BOLZANO;Bolzano;107.595;;1.633;443;1.123;24,98;51,16;132,50;1.083
022205;UNIVERSITÀ DEGLI STUDI DI TRENTO;Trento;119.616;;11.662;1.377;10.251;47,96;75,62;138,30;1.432
023091;UNIVERSITÀ DEGLI STUDI DI VERONA;Verona;258.584;;12.974;2.151;10.802;22,14;40,62;70,78;3.041
027042;"UNIVERSITÀ ""CA' FOSCARI"" DI VENEZIA;
UNIVERSITÀ IUAV DI VENEZIA";Venezia;259.961;;16.300;1.612;14.441;32,90;56,73;126,55;2.608
028060;UNIVERSITÀ DEGLI STUDI DI PADOVA;Padova;209.995;;36.330;3.839;32.322;25,85;41,55;84,02;2.251
030129;UNIVERSITÀ DEGLI STUDI DI UDINE;Udine;100.467;;9.084;1.091;7.973;18,47;36,45;64,82;1.267
032006;UNIVERSITÀ DEGLI STUDI DI TRIESTE;Trieste;202.351;;10.570;2.772;7.542;59,49;93,97;162,87;1.193
034027;UNIVERSITÀ DEGLI STUDI DI PARMA;Parma;198.606;;18.586;3.155;15.220;32,28;70,75;551,97;1.283
036023;UNIVERSITÀ DEGLI STUDI DI MODENA E REGGIO EMILIA;Modena;189.016;;11.893;1.969;9.899;18,05;34,84;306,11;2.051
037006;UNIVERSITÀ DEGLI STUDI DI BOLOGNA;Bologna;393.248;;47.873;7.257;40.171;49,00;130,83;376,82;2.368
038008;UNIVERSITÀ DEGLI STUDI DI FERRARA;Ferrara;132.931;;15.592;2.023;13.409;42,25;76,62;334,54;991
041067;"UNIVERSITÀ DEGLI STUDI DI URBINO ""CARLO BO""";Urbino;14.188;;9.043;326;8.518;33,49;84,58;355,60;135
042002;UNIVERSITÀ POLITECNICA DELLE MARCHE;Ancona;99.307;;10.023;1.090;8.924;34,67;58,70;133,03;1.370
043007;UNIVERSITÀ DEGLI STUDI DI CAMERINO;Camerino;6.857;;3.248;426;2.800;38,91;57,64;176,41;129
043023;UNIVERSITÀ DEGLI STUDI DI MACERATA;Macerata;41.340;;6.661;473;6.178;22,35;35,61;80,64;722
048017;UNIVERSITÀ DEGLI STUDI DI FIRENZE;Firenze;369.885;;36.716;7.305;29.162;19,03;37,29;109,68;1.822
050026;"UNIVERSITÀ DI PISA;
SCUOLA SUPERIORE SANT'ANNA;
SCUOLA NORMALE SUPERIORE";Pisa;90.096;;34.483;2.810;31.638;20,77;47,04;290,08;499
052032;"UNIVERSITÀ DEGLI STUDI DI SIENA; 
UNIVERSITÀ PER STRANIERI DI SIENA";Siena;54.339;;13.436;1.599;11.768;49,82;186,94;488,68;614
